subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	2	1	1	2	1	1	59	25	D	D	378	1	13
112101	2	1	1	2	1	1	60	27	A	D	555	0	13
112101	2	1	1	2	1	1	61	34	D	A	508	0	13
112101	2	1	1	2	1	1	62	13	A	A	468	1	13
112101	2	1	1	2	1	1	63	53	D	D	571	1	13
112101	2	1	1	2	1	1	64	32	A	A	339	1	13
112101	2	1	1	2	1	1	65	32	D	A	475	0	13
112101	2	1	1	2	1	1	66	40	D	D	522	1	13
112101	2	1	1	2	1	1	67	39	A	D	571	0	13
112101	2	1	1	2	1	1	68	33	D	A	420	0	13
112101	2	1	1	2	1	1	69	54	D	A	355	0	13
112101	2	1	1	2	1	1	70	11	A	A	419	1	13
112101	2	1	1	2	1	1	71	43	D	D	379	1	13
112101	2	1	1	2	1	1	72	29	A	D	732	0	13
112101	2	1	1	2	1	1	73	16	A	D	347	0	13
112101	2	1	1	2	1	1	74	38	D	A	523	0	13
112101	2	1	1	2	1	1	75	27	A	D	308	0	13
112101	2	1	1	2	1	1	76	47	D	A	579	0	13
112101	2	1	1	2	1	1	77	25	A	A	538	1	13
112101	2	1	1	2	1	1	78	10	A	A	514	1	13
112101	2	1	1	2	1	1	79	34	A	D	531	0	13
112101	2	1	1	2	1	1	80	39	D	A	658	0	13
112101	2	1	1	2	1	1	81	24	D	A	331	0	13
112101	2	1	1	2	1	1	82	9	A	A	388	1	13
112101	2	1	1	2	1	1	83	36	A	A	594	1	13
112101	2	1	1	2	1	1	84	22	A	A	491	1	13
112101	2	1	1	2	1	1	85	45	A	D	290	0	13
112101	2	1	1	2	1	1	86	19	A	A	369	1	13
112101	2	1	1	2	1	1	87	35	A	A	890	1	13
112101	2	1	1	2	1	1	88	40	D	A	579	0	13
112101	2	1	1	2	1	1	89	38	A	D	419	0	13
112101	2	1	1	2	1	1	90	33	A	D	531	0	13
112101	2	1	1	2	1	1	91	24	A	D	427	0	13
112101	2	1	1	2	1	1	92	35	D	A	282	0	13
112101	2	1	1	2	1	1	93	31	D	D	355	1	13
112101	2	1	1	2	1	1	94	35	D	D	481	1	13
112101	2	1	1	2	1	1	95	27	A	D	324	0	13
112101	2	1	1	2	1	1	96	28	D	D	339	1	13
112101	2	1	1	2	1	1	97	42	A	A	300	1	13
112101	2	1	1	2	1	1	98	20	A	A	307	1	13
112101	2	1	1	2	1	1	99	18	A	D	507	0	13
112101	2	1	1	2	1	1	100	18	A	A	649	1	13
112101	2	1	1	2	1	1	101	22	D	A	475	0	13
112101	2	1	1	2	1	1	102	25	A	D	428	0	13
112101	2	1	1	2	1	1	103	38	A	A	370	1	13
112101	2	1	1	2	1	1	104	39	D	D	330	1	13
112101	2	1	1	2	1	1	105	30	A	A	339	1	13
112101	2	1	1	2	1	1	106	16	D	A	668	0	13
112101	2	1	1	2	1	1	107	20	D	D	434	1	13
112101	2	1	1	2	1	1	108	29	D	D	451	1	13
112101	2	1	1	2	1	1	109	35	A	A	436	1	13
112101	2	1	1	2	1	1	110	14	A	D	355	0	13
112101	2	1	1	2	1	1	111	37	A	D	251	0	13
112101	2	1	1	2	1	1	112	29	A	A	236	1	13
112101	2	1	1	2	1	1	113	33	A	A	307	1	13
112101	2	1	1	2	1	1	114	45	D	A	475	0	13
112101	2	1	1	2	1	1	115	15	D	A	274	0	13
112101	2	1	1	2	1	1	116	14	D	D	274	1	13
112101	2	1	1	2	1	1	117	28	A	A	379	1	13
112101	2	1	1	2	1	1	118	41	D	A	259	0	13
112101	2	1	1	2	1	1	119	43	A	A	307	1	13
112101	2	1	1	2	1	1	120	22	D	D	299	1	13
112101	2	1	1	2	1	1	121	17	D	D	355	1	13
112101	2	1	1	2	1	1	122	15	A	D	282	0	13
112101	2	1	1	2	1	1	123	31	A	A	379	1	13
112101	2	1	1	2	1	1	124	46	D	A	244	0	13
112101	2	1	1	2	1	1	125	31	D	D	267	1	13
112101	2	1	1	2	1	1	126	55	D	D	292	1	13
112101	2	1	1	2	1	1	127	48	D	D	323	1	13
112101	2	1	1	2	1	1	128	21	D	D	451	1	13
112101	2	1	1	2	1	1	129	20	A	A	339	1	13
112101	2	1	1	2	1	1	130	21	A	D	290	0	13
112101	2	1	1	2	1	1	131	29	D	A	259	0	13
112101	2	1	1	2	1	1	132	17	A	A	459	1	13
112101	2	1	1	2	1	1	133	33	D	D	242	1	13
112101	2	1	1	2	1	1	134	25	A	D	258	0	13
112101	2	1	1	2	1	1	135	51	D	A	258	0	13
112101	2	1	1	2	1	1	136	34	A	D	227	0	13
112101	2	1	1	2	1	1	137	36	D	A	242	0	13
112101	2	1	1	2	1	1	138	22	A	D	275	0	13
112101	2	1	1	2	1	1	139	31	A	A	210	1	13
112101	2	1	1	2	1	1	140	22	A	D	114	0	13
112101	2	1	1	2	1	1	141	16	A	D	267	0	13
112101	2	1	1	2	1	1	142	44	D	D	283	1	13
112101	2	1	1	2	1	1	143	12	A	D	530	0	13
112101	2	1	1	2	1	1	144	25	D	A	308	0	13
112101	2	1	1	2	1	1	145	29	D	A	282	0	13
112101	2	1	1	2	1	1	146	42	D	D	251	1	13
112101	2	1	1	2	1	1	147	30	D	D	346	1	13
112101	2	1	1	2	1	1	148	28	D	A	194	0	13
112101	2	1	1	2	1	1	149	26	D	D	266	1	13
112101	2	1	1	2	1	1	150	39	D	D	443	1	13
112101	2	1	1	2	1	1	151	24	D	D	332	1	13
112101	2	1	1	2	1	1	152	30	A	A	460	1	13
112101	2	1	1	2	1	1	153	30	A	D	555	0	13
112101	2	1	1	2	1	1	154	8	A	A	282	1	13
112101	2	1	1	2	1	1	155	44	A	A	187	1	13
112101	2	1	1	2	1	1	156	36	D	A	259	0	13
112101	2	1	1	2	1	1	157	44	D	D	298	1	13
112101	2	1	1	2	1	1	158	30	D	A	218	0	13
112101	2	1	1	2	1	1	159	38	D	D	459	1	13
112101	2	1	1	2	1	1	160	36	D	D	235	1	13
112101	3	1	1	2	1	1	1	36	D	D	369	1	13
112101	3	1	1	2	1	1	2	22	D	D	536	1	13
112101	3	1	1	2	1	1	3	47	D	A	387	0	13
112101	3	1	1	2	1	1	4	18	D	D	618	1	13
112101	3	1	1	2	1	1	5	32	A	D	547	0	13
112101	3	1	1	2	1	1	6	28	A	A	300	1	13
112101	3	1	1	2	1	1	7	20	D	D	516	1	13
112101	3	1	1	2	1	1	8	26	A	A	562	1	13
112101	3	1	1	2	1	1	9	26	A	A	499	1	13
112101	3	1	1	2	1	1	10	9	A	A	468	1	13
112101	3	1	1	2	1	1	11	53	D	D	411	1	13
112101	3	1	1	2	1	1	12	27	D	A	435	0	13
112101	3	1	1	2	1	1	13	25	D	D	283	1	13
112101	3	1	1	2	1	1	14	23	A	D	500	0	13
112101	3	1	1	2	1	1	15	32	D	A	331	0	13
112101	3	1	1	2	1	1	16	16	A	D	234	0	13
112101	3	1	1	2	1	1	17	22	A	D	267	0	13
112101	3	1	1	2	1	1	18	8	A	A	243	1	13
